PathBank ID,Pathway Name,Pathway Subject,Metabolite ID,Metabolite Name,HMDB ID,KEGG ID,ChEBI ID,DrugBank ID,CAS,Formula,IUPAC,SMILES,InChI,InChI Key
SMP0012018,5-Deoxystrigol Biosynthesis,Metabolic,PW_C057879,5-deoxystrigol,,C18037,81466.0,,,C19H22O5,"(5R)-5-{[(3E,3aR,8bS)-8,8-dimethyl-2-oxo-2H,3H,3aH,4H,5H,6H,7H,8H,8bH-indeno[1,2-b]furan-3-ylidene]methoxy}-3-methyl-2,5-dihydrofuran-2-one",CC1=C[C@H](O\C=C2/[C@H]3CC4=C([C@H]3OC2=O)C(C)(C)CCC4)OC1=O,"InChI=1S/C19H22O5/c1-10-7-14(23-17(10)20)22-9-13-12-8-11-5-4-6-19(2,3)15(11)16(12)24-18(13)21/h7,9,12,14,16H,4-6,8H2,1-3H3/b13-9+/t12-,14-,16+/m1/s1",QXTUQXRFEBHUBA-DYLOANJQSA-N
SMP0012019,Abscisic Acid Biosynthesis,Metabolic,PW_C001778,Violaxanthin,HMDB0003101,C08614,,,126-29-4,C40H56O4,"(1R,6R)-6-[(1E,3E,5E,7E,9E,11E,13E,15E,17E)-18-[(1S,6R)-4-hydroxy-2,2,6-trimethyl-7-oxabicyclo[4.1.0]heptan-1-yl]-3,7,12,16-tetramethyloctadeca-1,3,5,7,9,11,13,15,17-nonaen-1-yl]-1,5,5-trimethyl-7-oxabicyclo[4.1.0]heptan-3-ol",OC1C[C@@]2(C)O[C@]2(\C=C\C(\C)=C\C=C\C(\C)=C\C=C\C=C(/C)\C=C\C=C(/C)\C=C\[C@@]23O[C@]2(C)CC(O)CC3(C)C)C(C)(C)C1,"InChI=1S/C40H56O4/c1-29(17-13-19-31(3)21-23-39-35(5,6)25-33(41)27-37(39,9)43-39)15-11-12-16-30(2)18-14-20-32(4)22-24-40-36(7,8)26-34(42)28-38(40,10)44-40/h11-24,33-34,41-42H,25-28H2,1-10H3/b12-11+,17-13+,18-14+,23-21+,24-22+,29-15+,30-16+,31-19+,32-20+/t33?,34?,37-,38-,39-,40+/m1/s1",SZCBXWMUOPQSOX-LOIAFDEVSA-N
SMP0012019,Abscisic Acid Biosynthesis,Metabolic,PW_C001757,Neoxanthin,HMDB0003020,C08606,25501.0,,30743-41-0,C40H56O4,"(1R,3S)-6-[(3E,5E,7E,9E,11E,13E,15E,17E)-18-[(1S,4S,6R)-4-hydroxy-2,2,6-trimethyl-7-oxabicyclo[4.1.0]heptan-1-yl]-3,7,12,16-tetramethyloctadeca-1,3,5,7,9,11,13,15,17-nonaen-1-ylidene]-1,5,5-trimethylcyclohexane-1,3-diol",[H]O[C@]1([H])C([H])([H])[C@]2(O[C@@]2(\C([H])=C(/[H])\C(=C(/[H])\C(\[H])=C(/[H])\C(=C(/[H])\C(\[H])=C(/[H])\C(\[H])=C(\C(\[H])=C(/[H])\C(\[H])=C(\C([H])=C=C2[C@@](O[H])(C([H])([H])[H])C([H])([H])[C@@]([H])(O[H])C([H])([H])C2(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H])/C([H])([H])[H])\C([H])([H])[H])\C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C1([H])[H])C([H])([H])[H],"InChI=1S/C40H56O4/c1-29(17-13-19-31(3)21-22-35-36(5,6)25-33(41)27-38(35,9)43)15-11-12-16-30(2)18-14-20-32(4)23-24-40-37(7,8)26-34(42)28-39(40,10)44-40/h11-21,23-24,33-34,41-43H,25-28H2,1-10H3/b12-11+,17-13+,18-14+,24-23+,29-15+,30-16+,31-19+,32-20+/t22?,33-,34-,38+,39+,40-/m0/s1",PGYAYSRVSAJXTE-CLONMANBSA-N
SMP0012019,Abscisic Acid Biosynthesis,Metabolic,PW_C057886,9'-cis-neoxanthin,,C13431,35306.0,,14660-91-4,C40H56O4,"(1R,3S)-6-[(1M,3E,5E,7E,9E,11E,13E,15Z,17E)-18-[(1S,4S,6R)-4-hydroxy-2,2,6-trimethyl-7-oxabicyclo[4.1.0]heptan-1-yl]-3,7,12,16-tetramethyloctadeca-1,3,5,7,9,11,13,15,17-nonaen-1-ylidene]-1,5,5-trimethylcyclohexane-1,3-diol",[H]C(=[C@@]=C1C(C)(C)C[C@H](O)C[C@@]1(C)O)C(\C)=C\C=C\C(\C)=C\C=C\C=C(/C)\C=C\C=C(\C)/C=C/[C@@]12O[C@]1(C)C[C@@H](O)CC2(C)C,"InChI=1S/C40H56O4/c1-29(17-13-19-31(3)21-22-35-36(5,6)25-33(41)27-38(35,9)43)15-11-12-16-30(2)18-14-20-32(4)23-24-40-37(7,8)26-34(42)28-39(40,10)44-40/h11-21,23-24,33-34,41-43H,25-28H2,1-10H3/b12-11+,17-13+,18-14+,24-23+,29-15+,30-16+,31-19+,32-20-/t22-,33-,34-,38+,39+,40-/m0/s1",PGYAYSRVSAJXTE-OQASCVKESA-N
SMP0012019,Abscisic Acid Biosynthesis,Metabolic,PW_C001065,Oxygen,HMDB0001377,C00007,15379.0,,7782-44-7,O2,oxidanone,O=O,InChI=1S/O2/c1-2,MYMOFIZGZYHOMD-UHFFFAOYSA-N
SMP0012019,Abscisic Acid Biosynthesis,Metabolic,PW_C057887,xanthoxin,,C13453,32304.0,,,C15H22O3,"(2Z,4E)-5-[(1S,4S,6R)-4-hydroxy-2,2,6-trimethyl-7-oxabicyclo[4.1.0]heptan-1-yl]-3-methylpenta-2,4-dienal",[H]\C(C=O)=C(/C)\C(\[H])=C(/[H])[C@@]12O[C@]1(C)C[C@@]([H])(O)CC2(C)C,"InChI=1S/C15H22O3/c1-11(6-8-16)5-7-15-13(2,3)9-12(17)10-14(15,4)18-15/h5-8,12,17H,9-10H2,1-4H3/b7-5+,11-6-/t12-,14+,15-/m0/s1",ZTALKMXOHWQNIA-TVBSHJCBSA-N
SMP0012019,Abscisic Acid Biosynthesis,Metabolic,PW_C057888,C25-allenic-apo-aldehyde,,C14044,34596.0,,,C25H34O3,"(2E,4E,6E,8E,10E)-13-[(2R,4S)-2,4-dihydroxy-2,6,6-trimethylcyclohexylidene]-2,7,11-trimethyltrideca-2,4,6,8,10,12-hexaenal",[H]/C(=C(/[H])\C(\[H])=C(/C)\C(\[H])=C(/[H])\C(\[H])=C(/C)C([H])=C=C1C(C)(C)C[C@]([H])(O)C[C@@]1(C)O)/C(/[H])=C(\C)C=O,"InChI=1S/C25H34O3/c1-19(10-7-8-11-21(3)18-26)12-9-13-20(2)14-15-23-24(4,5)16-22(27)17-25(23,6)28/h7-14,18,22,27-28H,16-17H2,1-6H3/b8-7+,12-9+,19-10+,20-13+,21-11+/t15?,22-,25+/m0/s1",MFDUGTOOXGORRX-ZROAIIAPSA-N
SMP0012019,Abscisic Acid Biosynthesis,Metabolic,PW_C000544,Fe2+,HMDB0000692,C14818,29033.0,DB01592,15438-31-0,Fe,lambda2-iron(2+) ion,[Fe++],InChI=1S/Fe/q+2,CWYNVVGOOAEACU-UHFFFAOYSA-N
SMP0012019,Abscisic Acid Biosynthesis,Metabolic,PW_C000721,NAD,HMDB0000902,C00003,15846.0,,53-84-9,C21H28N7O14P2,"1-[(2R,3R,4S,5R)-5-[({[({[(2R,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy}(hydroxy)phosphoryl)oxy](hydroxy)phosphoryl}oxy)methyl]-3,4-dihydroxyoxolan-2-yl]-3-carbamoyl-1lambda5-pyridin-1-ylium",NC(=O)C1=C[N+](=CC=C1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C2N=CN=C3N)[C@@H](O)[C@H]1O,"InChI=1S/C21H27N7O14P2/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(32)14(30)11(41-21)6-39-44(36,37)42-43(34,35)38-5-10-13(29)15(31)20(40-10)27-3-1-2-9(4-27)18(23)33/h1-4,7-8,10-11,13-16,20-21,29-32H,5-6H2,(H5-,22,23,24,25,33,34,35,36,37)/p+1/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1",BAWFJGJZGIEFAR-NNYOXOHSSA-O
SMP0012019,Abscisic Acid Biosynthesis,Metabolic,PW_C001144,NADH,HMDB0001487,C00004,16908.0,DB00157,58-68-4,C21H29N7O14P2,"[({[(2R,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy}(hydroxy)phosphoryl)oxy]({[(2R,3S,4R,5R)-5-(3-carbamoyl-1,4-dihydropyridin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy})phosphinic acid",NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](CO[P@](O)(=O)O[P@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O,"InChI=1S/C21H29N7O14P2/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(32)14(30)11(41-21)6-39-44(36,37)42-43(34,35)38-5-10-13(29)15(31)20(40-10)27-3-1-2-9(4-27)18(23)33/h1,3-4,7-8,10-11,13-16,20-21,29-32H,2,5-6H2,(H2,23,33)(H,34,35)(H,36,37)(H2,22,24,25)/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1",BOPGDPNILDQYTO-NNYOXOHSSA-N
SMP0012019,Abscisic Acid Biosynthesis,Metabolic,PW_C040034,Hydrogen Ion,HMDB0059597,C00080,15378.0,,,H,hydron,[H+],InChI=1S/p+1,GPRLSGONYQIRFK-UHFFFAOYSA-N
SMP0012019,Abscisic Acid Biosynthesis,Metabolic,PW_C057889,abscisic aldehyde,,C13455 ,31157.0,,,C15H20O3,"(2Z,4E)-5-[(1S)-1-hydroxy-2,6,6-trimethyl-4-oxocyclohex-2-en-1-yl]-3-methylpenta-2,4-dienal",[H]\C(C=O)=C(/C)\C(\[H])=C(/[H])[C@@]1(O)C(C)=CC(=O)CC1(C)C,"InChI=1S/C15H20O3/c1-11(6-8-16)5-7-15(18)12(2)9-13(17)10-14(15,3)4/h5-9,18H,10H2,1-4H3/b7-5+,11-6-/t15-/m1/s1",RIKWDZWVHUIUAM-KICRZJJPSA-N
SMP0012019,Abscisic Acid Biosynthesis,Metabolic,PW_C057878,molybdenum cofactor (Moco),,,71302.0,,,C10H10MoN5O8PS2,"{5-amino-7,13,13-trioxo-17-oxa-12,14-dithia-2,4,6,9-tetraaza-13-molybdatetracyclo[8.7.0.0^{3,8}.0^{11,15}]heptadeca-3(8),4,11(15)-trien-16-yl}methyl phosphate",NC1=NC2=C(NC3C(N2)OC(COP([O-])([O-])=O)C2=C3S[Mo](=O)(=O)S2)C(=O)N1,"InChI=1S/C10H14N5O6PS2.Mo.2O/c11-10-14-7-4(8(16)15-10)12-3-6(24)5(23)2(21-9(3)13-7)1-20-22(17,18)19;;;/h2-3,9,12,23-24H,1H2,(H2,17,18,19)(H4,11,13,14,15,16);;;/q;+2;;/p-4",HDAJUGGARUFROU-UHFFFAOYSA-J
SMP0012019,Abscisic Acid Biosynthesis,Metabolic,PW_C001420,Water,HMDB0002111,C00001,15377.0,,7732-18-5,H2O,water,O,InChI=1S/H2O/h1H2,XLYOFNOQVPJJNP-UHFFFAOYSA-N
SMP0012019,Abscisic Acid Biosynthesis,Metabolic,PW_C016115,(S)-Abscisic acid,HMDB0035140,C06082,18743.0,,21293-29-8,C15H20O4,"(2E,4E)-5-[(1S)-1-hydroxy-2,6,6-trimethyl-4-oxocyclohex-2-en-1-yl]-3-methylpenta-2,4-dienoic acid",OC(=O)\C=C(/C)\C=C\[C@@]1(O)C(C)=CC(=O)CC1(C)C,"InChI=1S/C15H20O4/c1-10(7-13(17)18)5-6-15(19)11(2)8-12(16)9-14(15,3)4/h5-8,19H,9H2,1-4H3,(H,17,18)/b6-5+,10-7+/t15-/m1/s1",JLIDBLDQVAYHNE-IBPUIESWSA-N
SMP0012019,Abscisic Acid Biosynthesis,Metabolic,PW_C001783,Hydrogen peroxide,HMDB0003125,C00027,16240.0,,7722-84-1,H2O2,peroxol,OO,InChI=1S/H2O2/c1-2/h1-2H,MHAJPDPJQMAIIY-UHFFFAOYSA-N
SMP0012033,Abscisic Acid Glucose Ester Metabolism,Metabolic,PW_C001778,Violaxanthin,HMDB0003101,C08614,,,126-29-4,C40H56O4,"(1R,6R)-6-[(1E,3E,5E,7E,9E,11E,13E,15E,17E)-18-[(1S,6R)-4-hydroxy-2,2,6-trimethyl-7-oxabicyclo[4.1.0]heptan-1-yl]-3,7,12,16-tetramethyloctadeca-1,3,5,7,9,11,13,15,17-nonaen-1-yl]-1,5,5-trimethyl-7-oxabicyclo[4.1.0]heptan-3-ol",OC1C[C@@]2(C)O[C@]2(\C=C\C(\C)=C\C=C\C(\C)=C\C=C\C=C(/C)\C=C\C=C(/C)\C=C\[C@@]23O[C@]2(C)CC(O)CC3(C)C)C(C)(C)C1,"InChI=1S/C40H56O4/c1-29(17-13-19-31(3)21-23-39-35(5,6)25-33(41)27-37(39,9)43-39)15-11-12-16-30(2)18-14-20-32(4)22-24-40-36(7,8)26-34(42)28-38(40,10)44-40/h11-24,33-34,41-42H,25-28H2,1-10H3/b12-11+,17-13+,18-14+,23-21+,24-22+,29-15+,30-16+,31-19+,32-20+/t33?,34?,37-,38-,39-,40+/m1/s1",SZCBXWMUOPQSOX-LOIAFDEVSA-N
SMP0012033,Abscisic Acid Glucose Ester Metabolism,Metabolic,PW_C001757,Neoxanthin,HMDB0003020,C08606,25501.0,,30743-41-0,C40H56O4,"(1R,3S)-6-[(3E,5E,7E,9E,11E,13E,15E,17E)-18-[(1S,4S,6R)-4-hydroxy-2,2,6-trimethyl-7-oxabicyclo[4.1.0]heptan-1-yl]-3,7,12,16-tetramethyloctadeca-1,3,5,7,9,11,13,15,17-nonaen-1-ylidene]-1,5,5-trimethylcyclohexane-1,3-diol",[H]O[C@]1([H])C([H])([H])[C@]2(O[C@@]2(\C([H])=C(/[H])\C(=C(/[H])\C(\[H])=C(/[H])\C(=C(/[H])\C(\[H])=C(/[H])\C(\[H])=C(\C(\[H])=C(/[H])\C(\[H])=C(\C([H])=C=C2[C@@](O[H])(C([H])([H])[H])C([H])([H])[C@@]([H])(O[H])C([H])([H])C2(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H])/C([H])([H])[H])\C([H])([H])[H])\C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C1([H])[H])C([H])([H])[H],"InChI=1S/C40H56O4/c1-29(17-13-19-31(3)21-22-35-36(5,6)25-33(41)27-38(35,9)43)15-11-12-16-30(2)18-14-20-32(4)23-24-40-37(7,8)26-34(42)28-39(40,10)44-40/h11-21,23-24,33-34,41-43H,25-28H2,1-10H3/b12-11+,17-13+,18-14+,24-23+,29-15+,30-16+,31-19+,32-20+/t22?,33-,34-,38+,39+,40-/m0/s1",PGYAYSRVSAJXTE-CLONMANBSA-N
SMP0012033,Abscisic Acid Glucose Ester Metabolism,Metabolic,PW_C057886,9'-cis-neoxanthin,,C13431,35306.0,,14660-91-4,C40H56O4,"(1R,3S)-6-[(1M,3E,5E,7E,9E,11E,13E,15Z,17E)-18-[(1S,4S,6R)-4-hydroxy-2,2,6-trimethyl-7-oxabicyclo[4.1.0]heptan-1-yl]-3,7,12,16-tetramethyloctadeca-1,3,5,7,9,11,13,15,17-nonaen-1-ylidene]-1,5,5-trimethylcyclohexane-1,3-diol",[H]C(=[C@@]=C1C(C)(C)C[C@H](O)C[C@@]1(C)O)C(\C)=C\C=C\C(\C)=C\C=C\C=C(/C)\C=C\C=C(\C)/C=C/[C@@]12O[C@]1(C)C[C@@H](O)CC2(C)C,"InChI=1S/C40H56O4/c1-29(17-13-19-31(3)21-22-35-36(5,6)25-33(41)27-38(35,9)43)15-11-12-16-30(2)18-14-20-32(4)23-24-40-37(7,8)26-34(42)28-39(40,10)44-40/h11-21,23-24,33-34,41-43H,25-28H2,1-10H3/b12-11+,17-13+,18-14+,24-23+,29-15+,30-16+,31-19+,32-20-/t22-,33-,34-,38+,39+,40-/m0/s1",PGYAYSRVSAJXTE-OQASCVKESA-N
SMP0012033,Abscisic Acid Glucose Ester Metabolism,Metabolic,PW_C001065,Oxygen,HMDB0001377,C00007,15379.0,,7782-44-7,O2,oxidanone,O=O,InChI=1S/O2/c1-2,MYMOFIZGZYHOMD-UHFFFAOYSA-N
SMP0012033,Abscisic Acid Glucose Ester Metabolism,Metabolic,PW_C057887,xanthoxin,,C13453,32304.0,,,C15H22O3,"(2Z,4E)-5-[(1S,4S,6R)-4-hydroxy-2,2,6-trimethyl-7-oxabicyclo[4.1.0]heptan-1-yl]-3-methylpenta-2,4-dienal",[H]\C(C=O)=C(/C)\C(\[H])=C(/[H])[C@@]12O[C@]1(C)C[C@@]([H])(O)CC2(C)C,"InChI=1S/C15H22O3/c1-11(6-8-16)5-7-15-13(2,3)9-12(17)10-14(15,4)18-15/h5-8,12,17H,9-10H2,1-4H3/b7-5+,11-6-/t12-,14+,15-/m0/s1",ZTALKMXOHWQNIA-TVBSHJCBSA-N
SMP0012033,Abscisic Acid Glucose Ester Metabolism,Metabolic,PW_C057888,C25-allenic-apo-aldehyde,,C14044,34596.0,,,C25H34O3,"(2E,4E,6E,8E,10E)-13-[(2R,4S)-2,4-dihydroxy-2,6,6-trimethylcyclohexylidene]-2,7,11-trimethyltrideca-2,4,6,8,10,12-hexaenal",[H]/C(=C(/[H])\C(\[H])=C(/C)\C(\[H])=C(/[H])\C(\[H])=C(/C)C([H])=C=C1C(C)(C)C[C@]([H])(O)C[C@@]1(C)O)/C(/[H])=C(\C)C=O,"InChI=1S/C25H34O3/c1-19(10-7-8-11-21(3)18-26)12-9-13-20(2)14-15-23-24(4,5)16-22(27)17-25(23,6)28/h7-14,18,22,27-28H,16-17H2,1-6H3/b8-7+,12-9+,19-10+,20-13+,21-11+/t15?,22-,25+/m0/s1",MFDUGTOOXGORRX-ZROAIIAPSA-N
SMP0012033,Abscisic Acid Glucose Ester Metabolism,Metabolic,PW_C000544,Fe2+,HMDB0000692,C14818,29033.0,DB01592,15438-31-0,Fe,lambda2-iron(2+) ion,[Fe++],InChI=1S/Fe/q+2,CWYNVVGOOAEACU-UHFFFAOYSA-N
SMP0012033,Abscisic Acid Glucose Ester Metabolism,Metabolic,PW_C000721,NAD,HMDB0000902,C00003,15846.0,,53-84-9,C21H28N7O14P2,"1-[(2R,3R,4S,5R)-5-[({[({[(2R,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy}(hydroxy)phosphoryl)oxy](hydroxy)phosphoryl}oxy)methyl]-3,4-dihydroxyoxolan-2-yl]-3-carbamoyl-1lambda5-pyridin-1-ylium",NC(=O)C1=C[N+](=CC=C1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C2N=CN=C3N)[C@@H](O)[C@H]1O,"InChI=1S/C21H27N7O14P2/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(32)14(30)11(41-21)6-39-44(36,37)42-43(34,35)38-5-10-13(29)15(31)20(40-10)27-3-1-2-9(4-27)18(23)33/h1-4,7-8,10-11,13-16,20-21,29-32H,5-6H2,(H5-,22,23,24,25,33,34,35,36,37)/p+1/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1",BAWFJGJZGIEFAR-NNYOXOHSSA-O
